,댓글,혐오여부
3578,애초에 자지의 뭘 이해해달라고 지껄이는거노 여태까지처럼 여혐하겠단거? 그래서 여자들이 여혐당하고도 예전처럼 묵묵히 맞고있으면 좋겠고 성매매 눈감아줬음 좋겠고 차별당하고 강간당하고 쳐맞고 살해당하면서도 여전히 좆빨면서 혐애 망혼 출산해서 내 성씨의 자식 낳아주고 경력단절당하고 몸갈아가며 육아하고 경제적으로 사회적으로 고립된채 내 부속품 꽁씹노예로 남아 자기인생도 이름도없이 뒤지라는 니 소망을 이해해달란거냐? 개새끼들아 제정신이냐? 니들이 이러니 죽을만하단거노 한남 이 좆버러지들아. 사지를 69갈래로 찢어버릴 새끼들,
3579,6남성들이 처한 상황9 이란게 뭐노? 그래봤자 가해자 대부분은 자지룜들 아니노? 남기자가 싸지른 글 아니랄까 논리가 없노,
3580,자연스러운 현상 아니겠노 ㅋㅋㅋㅋ 여성들이 그간 억눌려 왔다는 걸 제대로 보여주노,
3581,나도 웜 접하고 칼 들고 다니노. 시비거는 자댕이 새끼 걸리면 머리채 쥐어잡고 부랄빵 신나게 한다음 후장 칼로 쑤셔서 죽여버린다 이기야. ,
3582,"바람직하노 이기
",
3583,당연한거아니노? 이런걸로 기사내는게 웃챙 ,
3584,1일 1살남 프젝하자이기,
3585,또 다른 폭력 지랄하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ <진짜>폭력이나 기사로 내라. 세 집 중 두 집에서 좆놈이 주인님한테 폭력쓴다 ,
3586,한남 점점 도태비율 높아지는건 시간문젠데 지들만 모르노ㅋㅋㅋㅋㅋ머갈없는 티내노,
3587,깔깔깔깔 진정한 보토피아가 형성되는 그날까지 살남힘조,
3588,퍄 당연한거노 1일 1 자지 죽이기가자 이기,
3589,이기이기 당연한 수순 아니겠^노^ 이런식으로 살남 뚝딱 해서 비빔밤 해먹다보면 크-린한 머국되어 보토피이 완성이노,
3590,인식이 조금이라도 바람직한 방향으로 흘러간 것같아서 기분이 노무현 좋다 이기야,
3591,요즘 외출시 칼챙겨나가는건 당연시돼부렀노 조만간 총사서 쏴죽일생각이노,
3592,세상은 변하고 있었노. 그리고 그 증거를 눈으로 볼 수 있어서 놈딱 신난다 이기. 지금 4년 전보다 상태가 많이 좋아졌노. 여전히 탈코조차 안하는 놈들은 널렸지만 그래도 한남이 좆같은 놈들이라는 것은 알려지고 있다 이기야. 더 나아가야 하노. ,
3593,"이 한남좆같은 좆국은 50년대나 지금이나 다를게없노. 그러게 적당히좀 여자들 후려치고 갈아먹지그랬노?
이런 기사볼때마다 그저 살남충동만 6969배 더든다이기야
두고봐라 탈조할땐 하더라도 머국보지들 하나라도 더 각성시키고 나갈꺼다
탈조하고 나서도 주변인들에게 한남좆병신들 이미지 좆창내는데 온힘을 쏟겠다이기
빨간약먹은 똑똑한 머국보지들 비혼 비출산 같이 힘주고 정상에서 만나자
",
3594,"6한 대학 강사9?????????????????????? 성씨, 이름, 나이 왜 안 밝히노? 저 새끼 죽일라 했는데 숨겨준 남기자 니부터 죽인다 기대해라 ",
3595,힘내라 이기,
3596,"자지들이 양남처럼 조신부랄딸랑였으면
저기까진안왔노 땔깜 매일매일넣어주는 놈들이다^^",
3597,이 모든 일이 정확히 햇님 정부때 일어난 일이라는 점을 자각해야하노. 여성이 높은 자리에 올라갔을 때 이렇게 큰 변화가 생긴다 이기. 햇님 그립습니다,
3598,"한남들이 한녀를 더 무서워하고 벌벌 떨었으면 좋겠다이기
밤길무서워서 남성안심귀갓길지킴이 동행하고 집에들어가고
뒤에 여자가오나안오나 뒤돌아보면서 여자면 뛰어가게만들어야하노",
3599,기자보이 사상이 왜 저러노 뇌가 녹았노? 흘러내리노,
3600,살남은 에티켓,
3601,바람직한 통계노 다음통계엔 일조하겠노 ,
3602,"조금이라도 생각이 있으면 양놈들처럼 겉으로라도 딸랑거릴텐데
냄져들 하는 짓거리 보면 어둠의 페미 전도사가 확실하노",
3603,이년들아 나도 웜하고 좆국기준 ^범죄^저질렀노 물론 자백안하고 증거없어서 무혐의로 끝난 쀼젤 ㅋㅋ 웜접하기전이면 참고 넘어가서 홧병나고 암걸렸을지도 모르는데 웜년들덕에 화풀이 했노 희희박정희 견찰 다녀와서 광대승천하더노 ㅋㅋㅋㅋㅋ,
3604,보자마자 행복해서 웃음터져뿟노 ㅋㅋㅋㅋㅋㅋㅋ 아직멀었다이기 더욱더 한남박멸에 힘써야하노 ,
3605,"1년에 10만명씩 살남한 것도 아닌데 자집애답게 징징대노 여태까지 냄져들이 아묻따 오프라인 여혐, 온라인 여혐 해왔으면 그에 따른 대가를 치뤄야한다 이기",
3606,1일1살처분하자이니,
3607,"표보나까 여성범죄가 3배이상 늘어난게 아니라 여성범죄 중 범행동기가 가정불화 인게 3배이상 늘어난거노.. 뭐 전체 여성범죄도 증가추세인건 사실이긴하니 여자들이 더이상 ‘가정불화’를 참지 않는다 정도로 해석하면 될듯.
마 앱충들 보고있나ㅋㅋㅋㅋ 등이 근질근질하노?",
3608,지랄하지 마노 기사 속 강사새끼ㅋㅋㅋㅋㅋㅋㅋㅋ뭔 이해노 이기 여자에게 이해를 바라면 안된다는 걸 모르노ㅋㅋㅋㅋㅋㅋ냄져들은 늙으나 핏덩이나 하늘같은 여자의 부름을 받들면 되는거다 이기야,
3609,남자나 여자를 이해하고 보듬어라 좃같은 자지새끼야,
3610,대장님들 놈딱 멋지노,
3611,퍄퍄 드디어 세상이 바로 돌아가기 시작했노 ,
3612,더도말고 덜도말고 본인 꼭 빼다 박은 자식 낳아서 살아라,
3613,퍄 바람직하노이기,
3614,바람직하노 남자가 나대는데 어떤 여자가 참겠노 여자는 참는 거 아니다 이기야,
3615,자랑스럽노 좆놈들이 나대면 칼로 교육시키는게 맞노 ㅋㅋㅋㅋㅋ,
3616,ㅈ,
3617,자지놈들 저러다 도태되고 남김없이 재기할 때 그 때 끝이노,
3618,역시 대단하노,
3619,맨날 이런 기사만 나오면 좋겠노,
3620,놈따 멋지노ㅋㅋㅋㅋㅋㅋㅋㅋ,
3621,깔깔깔깔 핸냄 개복치들 멸종하는 그날까지 힘조~~야 한다이기야,
3622,인생 무료하다 싶을 때는 연쇄한남살인마가 될거노ㅋ 후장 좆나게 찢고 자지 조각조각 짤라서 후장과 입에 쳐넣고 배때지에 워마드라고 적어줄거노ㅋㅋㅋㅋㅋ,
3623,300프로 올랐으면 뭐하노 여전히 전체 범죄에 3프로도 안되는데 나머지 97프로는 한남 ㅋㅋㅋㅋㅋㅋㅋㅋ,
3624,ㅋㅋ,
3625,웜냐들 놈딱좋은보토피아만드는거 아니노? 난 보지들 믿는다이기,
3626,ㄹㅇ 바람직하노,
3627,믓찌노 웜이 세상을 바꿨노,
3628,군무 바람직한 현상이노. ,
3629,자이스 ㅋ,
3630,한남의 미래는 도태밖에 없노 깔깔,
3631,노무딱 바람직하노 좆국에 여성들만 남을 때까지 살남은 계속 된다 이기야 방금도 지나가는 한남 한 마리 죽이고 왔노,
3632,"범죄자 통계에서는 내가 기여하겠노
자댕이 썰러 ^오^",
3633,이 글보고 힐링했노ㅋㅋㅋㅋㅋㅋ놈딱 좋다이기야,
3634,메갈이 사회를 바꿨노,
3635,자이스노 ^^ 놈딱 바람직,
3636,보토피아 실현도 꿈만은 아니노,
3637,이제 시작이다이기야,
3638,그놈의 여성범죄자 타이틀 마 범죄가 니들꺼노? 왜자꾸 여성 여자 못잃고 글쓰노 따개비놈들아 ㅋㅋㅋㅋ얼마나 더죽여야 입닥치고 조용히 범죄 기사쓸래?,
3639,대단하노 이기,
3640,여성들은 이제 참지 않는다. 살남은 의외로 손쉬운 문제해결 방법이다.,
3641,6니들이 아무리 소추로 하늘을 가리려고 부랄떨어도 지구는 돈다9 명언이노 프린트해서 붙여두겠노,
3642,"누가 이길 것 같으냐? 졸잼난다.
https://www.me.co.kr/sub/challenge_detail.php?itemNo=615",
3643,ㅇㅊ 보지들은 더 이상 참지 않는다 ,
3644,음경들이 부랄떨려서 세배나 검거했노 후팔,
3645,나도 도덕버린지 얼마안됐지만 각성속도 앵나오노 가정폭력범 무능력한 애비충 호통에도 가슴이 철렁하던 남리남리한 나는 이제 없다이기야ㅋ 후팔 수틀리면 살인청부해버릴거노 깔깔,
3646,키야 속이 다 시원하노 앞으로도 살남 각성해야한다 이기,
3647,와 대박이노 ㅋㅋㅋ영향력 ㅂㅅㅌㅊ,
3648,놈딱 유쾌하다이기 저분들은 내가 마음속에서 상상하는 일을 실제로 옮기신 행동보지노,
3649,1일1살남 좋노 살남하고 보토피아 만들자이기야 ,
3650,나도 각성하고 나서 애비한테 자주 손 올리노 껄껄,
3651,이런 기사가 더 많이 나와야되노 오늘 기사뜬 놈편 살해한 보지대장감은 달랑 하나뜨노 자아의탁 심한 개돼지들은 이런 기사하나 사회적 경향성에 예민하게 반응한다 이기야,
3652,출생률저하는 여자탓이아니고 다 자지들 탓이노,
3653,더 살남꿘이 늘어나야하노 깔깔깔 봊잼이노,
3654,목소리 내기 시작해서 바로 3.5배로 뛰어올랐다는게 웃챙이노 더 끔찍한건 저것조차도 실제로 일어날 폭력의 전부가 아닐거라는거노 아직까지도 숨겨지는 폭력이 많이 있을거노 다 파헤쳐서 자댕이척살해야하노,
3655,가정폭력 일으킨 새끼가 문제지 워매드가 무슨 잘못? 기자새끼 좆집 작을듯하노,
3656,웜년은 참지않는다,
3657,여자들이 각성했노 ㅋㅋ,
3658,바람직하노ㅋㅋㅋㅋ,
3659,바람직하노ㅋㅋㅋㅋㅋ웃음이난다 이기야,
3660,좆국은 좆들로 인해 망하고 보지가 다시 건설할거노. ,
3661,.,
3662,애비 참교육 하는 년들이 늘어났으면 환영할 일 아니노 ,
3663,사람은 설명되는 존재가 아니고 증명되는 존재노.,
3664,여성들의 무기력조차 남성들이 원하는 것이고 미디어가 세뇌한 결과라는 것,
3665,우울해하는 ^나^에 취하지말것,
3666,애비를 죽여라,
3667,6무능을 잊고 기준을 높여라9 자집애처럼 앵앵거리지 말고 구체적인 방안을 생각하게 만드노,
3668,받은 것 그 이상으로 멕여라 봊대장들,
3669,니 인생은 감상의 대상 따위가 아니다,
3670,"가좆, 흉자모 도덕 버려라.
웜에 소속감 갖지 마라.
ㅎㅌㅊ 말투 빼라",
3671,안 바뀐다 안 바뀐다 하지만 너는 바뀌지 않았노.,
3672,높은 자리에서기다리고 있겠노 위에서 경쟁하자이니,
3673,"햇님 66 여자들은 다 열심히 하는데, 한국 남자들은 왜 그럴까요? 99",
3674,위에서 만나자,
3675,내 행위를 제재할 방법은 개좃도 없어요,
3676,이해하지 말고 요구하라. 내 인생 바꾼 처음의 말이노. 프린트해서 수십번 읽었노. ,
3677,,
3678,"606 내가 알기로, 친밀감이나 소속감 떄문에 제대로 된 비판이 오가지 않을거고, 누군가가 네임드가 되는 경우가 생길까봐 그런거노. ",
3679,,
3680,"이해하지 말고 요구하라 저게 얼마나 띵문이었냐면, 나는 한번도 내가 '이해' 하기만을 강요당하고 있다는 구조를 볼 생각을 하지 못했음을 깨달았다는 거노. 나는 한번도 '이해'를 하는 구조는 권력에서 나옴을 몰랐노. 왜 누가 누구를 항상 이해하는가? 왜 누구는 항상 참는가? 그게 권력에서 나온다는 걸 몰랐노. 아량이 넓은 게 아니라 권력적으로 약자임을 몰랐노. 나는 아량이 넓다고 말할만큼 강자가 아니라는 사실도몰랐노.이해하지 말고 요구하라. 눈물이 나오면 눈물을 흘리며 요구하라. 싸워야 하면 싸우면서 요구하라. 그말들이 주옥같았노. ",
3681,,
3682,,
3683,,
3684,,
3685,,
3686,남퍼주는거 좋아하지마라는거(=자존감 낮은거라하노),
3687,가부장제는 사람을 추하게 만든다.,
3688,"명언들은 다 좋은데, 연예게 먹금하자고 결론났는데ㅋㅋㅋ굳이 백래시 미는 연옌 이미지로 댓글창 도배하는 건 뭐노ㅋㅋㅋ쓰까 연예인이 언제부터 워마드 대표했노?ㅋㅋㅋ연예계꿘 워마드 계속 상주중이노",
3689,착한여자는 죽어서 천당에 가지만 나쁜 여자는 살아서 어디든 간다,
3690,1.워마드도 다 믿지마라. 2.저출산(x)저출생(o) 3. 성매매를 한번만 한 냄져는 있어도 성매매를 단 한번도 하지 않는 한국냄져는 존재하지 않는다,
3691,역대급 개소리 ^좋은건 나누면 2배^ ,
3692,"좆팔 댓글에 백래시 연예인으로 도배했노ㅋㅋㅋ여기 나도 명언 만들어 써두겠노.
장담컨대 연예인 먹금, 관심끊는 게 코르셋 버리기보다 더 반발 심하고 어려울 거노. 연예인 자체가 걸어다니는 코르셋 그 자체인데. 대리만족 버리지 못하노. 거기다 연옌 뒷담까는 재미까지 버리는 게 쉬울 리가 있노. 좆국 특유의 여혐과 개머지 근성은 다른 곳도 아니고 네 안에 있다 이기야. 못 버리면 그 수준에 머무르는 거노.",
3693,"As a woman I have no country.
As a woman I want no country.
As a woman, My country is the whole world.
- Virginia Woolf",
3694,노예가 될 바에야 반역자가 되겠다.,
3695,좆혼해서 인생 망친 사람 있어도 좆혼 안해서 인생 망친 사람은 없다 노무딱 띵문이노,
3696,"문제를 직시하기도 힘든 상황에서 대안을 요구하는 것은 문제를 해결하기 싫다는 말일 뿐이다. 여혐민국 문제점 6969번 얘기해도 그래서 대안이 뭔데? 라고 얘기하는 개돼지들 많이 봤을거노. 이렇게 얘기해라. 대안 같은 거 없다. 이게 문제가 된다는 것 조차 모르는 상황에서, 문제제기조차 되지 않는 상황에서 뭔 대안? 너는 그냥 문제 해결하기 싫고 현 상태를 유지하고 싶은 것 뿐이다. 대안 같은 거 나도 모른다.",
3697,흉자탈출은 지능순,
3698,예수 조팔 새끼,
3699,512는 연예계꿘이 아니라 쓰까충이다 페미가 모든 걸 짊어지고 해줘야된단 소리들이노,
3700,몸의 언어가 중요하다 이기 자세부터 ㅅㅌㅊ가 되어야 한다 이니야 그리고 chin up 하라는 소리도 같이 가노. ,
3701,"봊들한테 미디어, 공인에 대한 판단능력 잃어버리게 하기
무식한 아저씨처럼 무작정 먹금 시켜버리기
자본주의 산물과 척지게 하기
그 순기능 이 악물고 없다고 선동하기
자본과 성공한 사람, 권력자에게 열폭하는 좌빨갱이 홍에 페미다움
페미는 핑계고 열등감과 선동이 찐 이유임",
3702,정병 찐따 진보꿘충한테 입막음 당한 봊 여기와라 이기 http://gall.dcinside.com/neversex/385,
3703,322 쟤네가 연예계꿘이 아니라 니가 진보꿘충이노 특히 미국연예인이라 이번 선동 지령내려왔나보노 풉,
3704,불행은 불행의 전문가다,
3705,맞은 것보다 더 세게 쳐야 한다. 그 한 방으로 모든 게 변할 것이다. ,
3706,외로움은 허상이노. 연애욕구 등. 갓난 애기 때를 생각하라 이기 혼자서 잘만 놀지 않았노? 외로움은 세뇌와 같노.,
3707,3번째 글 읽어보고 싶은데 제목 뭐라 검색해야 되노,
3708,이기이기 그동안 띵문들 다 요약돼있노 지우지마라 스크랩해놨노,
3709,아무떼나 미안하단말 쉽게 하지마라,
3710,"세상의 절반이 여성이다
우리는 반드시 이길것이다 ",
3711,보지 인생에 늦은 건 없다는 말이랑 좆국인인 걸 들키지 말라는 말이 도움됐었노,
3712,한남충은 례쁜 여자한테도 가성비 좆나 따진다. 재기해,
3713,두 사람의 의견이 갈릴 때 이루고자 하는 의지가 더 강한 쪽으로 된다. 어영부영 대충 살고 있으면 강한 의지로 끌어당기는 놈이 있을 때 망혼한다. ,
3714,내인생에 자댕이는 저얼대 없노 ,
3715,위에서 보자,
3716,최근에 제일 도움됐던건 12345 재기재기 하고 일어나기 였노 요새 꼬박꼬박 잘 일어나노,
3717,"세상이 나에게 어떤것을 주었든, 나는 그틈에서 성장한다",
3718,"웜에 소속감 같지마라
니가 지금 여성차별을 알았다고 달리지는건 아무것도 없노.
니 자신이 달라져야하노",
3719,"66 내 성공, 내 재산, 내 능력, 내 실전만이 나를 나타내는 객관적 지표이고, 사람들은 그것으로 나를 무시할지 떠받을지 결정하노.99 보지에 새겼다이기. 분위기? 감정? 좆팔. 그딴것보다 언제나 나의 실속을 먼저 생각해야하노.",
3720,"다시 써 보노.
이해하지 말고 요구하라
정상에서 만나자
인생 조지고 싶으면 한남충이랑 살아라
자격이나 요건을 찾지 말고 방법(how)을 찾아라
내 성공, 내 재산, 내 능력, 내 실전만이 나를 나타내는 객관적 지표이고 타인들은 그 지표로 나를 떠받들지 무시할지 결정한다",
3721,"위에 누가 적어놨는데
불행한 사람은 불행의 전문가다
이거 내 인생 띵문이노
이 한마디가 일주일동안 머리를 때리더노
주변에 불행이 묻어있는것들은 다 지워버렸노",
3722,니가 지금 소통하는 자극의 평균이 1년 뒤 너다,
3723,이해받고 싶어하지 마라 그저 그런 개돼지들한테 이해 받고 싶어하는 꼴로는 권력 평생 못 잡는다 권력을 잡아야 보토피아가 이루어진다. 기억해라 이기,
3724,"이해하지말고 요구해라
봊띵문
볼때마다 쓴 웜년 상주고 싶음",
3725,하나하나 다 띵문이노 자주 읽으면서 봊에 힘주고 살아가겟다이기 ,
3726,구원은 셀프다,
3727,버릴게없노 방법을 찾아라이기야 계속 도전한다,
3728,"웜에서 본 건 아니지만
남자만나서 잘못됐다는 말을 들었어도 남자안만나서 잘못됐다는 말은 못들었다",
3729,소속이 너를 대변하게 두지 마라.,
3730,너보다 불행한 사람에게 동정하지 마라. 동정하는 순간 너의 에너지는 너보다 불행한 사람에게 옮겨진다. 동정하지 말고 분노해라. 행복과 행운은 다 에너지다. 네게서 빠져나가게 두지 마라.,
3731,티비동화 행복한 세상 등의 사연은 '무척 고생하다가 사소한 것으로 감동을 느낀다' 등의 레파토리인데 인생은 에피소드가 아니다. 사소한 것으로 가끔 감동을 느낄 수는 있지만 구질하고 고생하는 삶은 계속된다. 감동적인 에피소드는 순간이고 아무도 그 뒤의 이야기를 궁금해하지 않는다.,
3732,3번과 첫번째 멋글 보지를 탁 치고간다이기야 ㅇㅊ,
3733,66니가 지금 받는 자극의 평균이 1년 뒤 너다99 띵문이노 개돼지로 살다 저 말 보고 정신 차렸노,
3734,좆혼하는거 자체가 봊들한테는 손해일뿐이노,
3735,"정상에서 만나자
ㅎㅌㅊ 말투 없애고 당당하게 요구하기->어려운 사람이 되어라",
3736,네 친모도 가부장제의 부역자다. ,
3737,"나를 무너뜨릴 수 있는 것은 오직 나뿐이노.
누구에게도 그 권리를 뺏길 수 없겠다는 생각이 들었노.
그 이후로는 어떤 자댕이의 말에도 흔들림 없이 내 갈길 가고 있노. 뒤져도 내 손으로 뒤지겠다이거노. ",
3738,ㅇㄱㄹㅇ이노,
3739,놈딱 맞는말이노 ,
3740,도덕버려라 지금의 섹스는 남성을위한 남성위주 남성우월섹스다 진짜흡입섹스는 폭력이란거 깨달았노 지금의 섹스는 백퍼다 강간이이다,
3741,구원은 셀프라는 말은 볼 때마다 보지 탁탁 두들기고 가노,
3742,"규칙은 권력자들이 지배를 견고히 하기 위해 만드는 것이고, 그러인해 권력자들은 규칙을 지키지 않아도 되는 것이다,",
3743,구원은셀프다. 니인생은연극이아니다 연극으로생각하지않는삶이성공한삶이다 이노 ,
3744,당한 만큼 갚아라 받은 거 이상으로 증오하고 멕여라 가 생각나노 ,
3745,개돼지 썩창 마인드를 버려라,
3746,6구원은 셀프9 이거 만든년 누구노 교과서에 나와도 이상하지 않을 띵문이노,
3747,힘들때마다 구원은 셀프 떠올리노,
3748,맞는말이다이기 위에서만나자,
3749,이기화이팅이노 이기기기이ㅣㅇ이ㅣㅣ이,
3750,구원은 셀프,
3751,2번은 진짜 띵언이노 ,
3752,이글 내용과 댓글들 ㅇㅊ노 삶에 필요한 핵심들이 있노,
3753,여자가 인류의 디폴트다.,
3754,"안녕하세요 시위에 나가신 워마드 회원분들을 인터뷰를 하고싶습니다. 차비별도, 사례비(15만원)드리며 모자이크,음성변조,비밀보장드립니다. https://open.kakao.com/o/stFXjeW 연락주세요.^^116",
3755,"누가 이길 것 같으냐? 졸잼난다.
https://www.me.co.kr/sub/challenge_detail.php?itemNo=615",
3756,보지는 안될것이 없다,
3757,"유좆무죄
무좆유죄",
3758,흉자모 버려라.가 내 인생TOP3에 드는 조언이노.,
3759,"극단적이며 미쳐야 세상을 바꿀수있다는것 그렇기에
웜의 존재가 절실히 필요하다는것
",
3760,Beest 라고 쓴 이유가 났는 거노? Bost도 아니고 왜 beest노?,
3761,개돼지와의 관계를 끊어내라,
3762,"구원은 셀프다
워마드에 소속감가지지 마라",
3763,우리는 승리를 쟁취할 것이다. 우리는 성공할 것이고 정상에서 경쟁한다.,
3764,"하이스펙 용기와 가능성
매일 보면서 탈조결심 6년만에세우고 실행중이노
월베 모든글이 나에겐 띵언 띵문이었노",
3765,길거리 남충들을 칼로 찔러라,
3766,스크랩해뒀으니 절대 삭제하지마라 책상 앞에도 써놨다이기 고맙다 정상에서 보자,
3767,요구하라 이말 매일실천하고잇노,
3768,참지말고 요구하라 매번실천하고잇노,
3769,탈조는 선택이 아닌 필수,
3770,네가 목표하고 있는 것들이 원래 네것이라고 생각하고 행동해라,
3771,억울하면 성공해라 개자지들 없앨 수 있는 건 보지뿐이노,
3772,공책에 다 적고 맨날 보겠노. 여기 띵문들만 모아놨노. 덕분에 야망 불타오른다 이기야.,
3773,일번부터 공감한다 이기야,
3774,정신을 마비시키지마라. 개돼지만 하는 짓이다,
3775,"착하다는 소리는
니가 나한테 도움이될것같다=무해하다",
3776,2번 내 좌우명 됐노 ,
3777,인간관계에 집착하지 말자,
3778,옳은말이다 이기야,
3779,우리는 미래로 가야한다,
3780,요구해라. 대접받을지어다.,
3781,노무딱 좋노 스크랩해서 읽겠다 이기야,
3782,띵문이노 ,
3783,야망을 가져라,
3784,"화장은 기수나 하는 것, 다이어트는 스윙스나 하는 것 ^좆^",
3785,그 어떤 경우에도 사과하지 마라,
3786,망혼해서 인생 망친 여자는 있어도 망혼 안해서 인생 망친 여자는 없다 ^좆^,
3787,보지에 새기노,
3788,여성권익을 위해 가정은 파괴되어야한다,
3789,나에게만 집중하라. 내 이익을 우선시해라. 도덕 코르셋 벗는 데 가장 도움됐노.,
3790,고맙너,
3791,네가 쓴 글. 특히 세 번째 띵언이 정말 가슴에 깊게 남노 ,
3792,"정신을 마비시키지 말아라
외부가 아닌 스스로만이 자신을 죽일 수 있다",
3793,,
3794,,
3795,,
3796,,
3797,,
3798,,
3799,,
3800,,
3801,,
3802,,
3803,,
3804,,
3805,,
3806,,
3807,,
3808,,
3809,,
3810,,
3811,,
3812,,
3813,,
3814,,
3815,,
3816,,
3817,,
3818,,
3819,,
3820,,
3821,,
3822,,
3823,,
3824,,
3825,,
3826,,
3827,,
3828,,
3829,,
3830,,
3831,,
3832,,
3833,,
3834,,
3835,,
3836,,
3837,,
3838,,
3839,,
3840,,
3841,,
3842,,
3843,,
3844,,
3845,,
3846,,
3847,,
3848,,
3849,,
3850,,
3851,,
3852,,
3853,,
3854,,
3855,,
3856,,
3857,,
3858,,
3859,,
3860,,
3861,,
3862,,
3863,,
3864,,
3865,,
3866,,
3867,,
3868,,
3869,,
3870,,
3871,,
3872,,
3873,,
3874,,
3875,,
3876,,
3877,,
3878,,
3879,,
3880,,
3881,,
3882,,
3883,,
3884,,
3885,,
3886,,
3887,,
3888,,
3889,,
3890,,
3891,,
3892,,
3893,,
3894,,
3895,,
3896,,
3897,,
3898,,
3899,,
3900,,
3901,,
3902,,
3903,,
3904,,
3905,,
3906,,
3907,,
3908,,
3909,,
3910,,
3911,,
3912,,
3913,,
3914,,
3915,,
3916,,
3917,,
3918,,
3919,,
3920,,
3921,,
3922,,
3923,,
3924,,
3925,,
3926,,
3927,,
3928,,
3929,,
3930,,
3931,,
3932,,
3933,,
3934,,
3935,,
3936,,
3937,,
3938,,
3939,,
3940,,
3941,,
3942,,
3943,,
3944,,
3945,,
3946,,
3947,,
3948,,
3949,,
3950,,
3951,,
3952,,
3953,,
3954,,
3955,,
3956,,
3957,,
3958,,
3959,,
3960,,
3961,,
3962,,
3963,,
3964,,
3965,,
3966,,
3967,,
3968,,
3969,,
3970,,
3971,,
3972,,
3973,,
3974,,
3975,,
3976,,
3977,,
3978,,
3979,,
3980,,
3981,,
3982,,
3983,,
3984,,
3985,,
3986,,
3987,,
3988,,
3989,,
3990,,
3991,,
3992,,
3993,,
3994,,
3995,,
3996,,
3997,,
3998,,
3999,,
4000,,
4001,,
4002,,
4003,,
4004,,
4005,,
4006,,
4007,,
4008,,
4009,,
4010,,
4011,,
4012,,
4013,,
4014,,
4015,,
4016,,
4017,,
4018,,
4019,,
4020,,
4021,,
4022,,
4023,,
4024,,
4025,,
4026,,
4027,,
4028,,
4029,,
4030,,
4031,,
4032,,
4033,,
4034,,
4035,,
4036,,
4037,,
4038,,
4039,,
4040,,
4041,,
4042,,
4043,,
4044,,
4045,,
4046,,
4047,,
4048,,
4049,,
4050,,
4051,,
4052,,
4053,,
4054,,
4055,,
4056,,
4057,,
4058,,
4059,,
4060,,
4061,,
4062,,
4063,,
4064,,
4065,,
4066,,
4067,,
4068,,
4069,,
4070,,
4071,,
4072,,
4073,,
4074,,
4075,,
4076,,
4077,,
4078,,
4079,,
4080,,
4081,,
4082,,
4083,,
4084,,
4085,,
4086,,
4087,,
4088,,
4089,,
4090,,
4091,,
4092,,
4093,,
4094,,
4095,,
4096,,
4097,,
4098,,
4099,,
4100,,
4101,,
4102,,
4103,,
4104,,
4105,,
4106,,
4107,,
4108,,
4109,,
4110,,
4111,,
4112,,
4113,,
4114,,
4115,,
4116,,
4117,,
4118,,
4119,,
4120,,
4121,,
4122,,
4123,,
4124,,
4125,,
4126,,
4127,,
4128,,
4129,,
4130,,
4131,,
4132,,
4133,,
4134,,
4135,,
4136,,
4137,,
4138,,
4139,,
4140,,
4141,,
4142,,
4143,,
4144,,
4145,,
4146,,
4147,,
4148,,
4149,,
4150,,
4151,,
4152,,
4153,,
4154,,
4155,,
4156,,
4157,,
4158,,
4159,,
4160,,
4161,,
4162,,
4163,,
4164,,
4165,,
4166,,
4167,,
4168,,
4169,,
4170,,
4171,,
4172,,
4173,,
4174,,
4175,,
4176,,
4177,,
4178,,
4179,,
4180,,
4181,,
4182,,
4183,,
4184,,
4185,,
4186,,
4187,,
4188,,
4189,,
4190,,
4191,,
4192,,
4193,,
4194,,
4195,,
4196,,
4197,,
4198,,
4199,,
4200,,
4201,,
4202,,
4203,,
4204,,
4205,,
4206,,
4207,,
4208,,
4209,,
4210,,
4211,,
4212,,
4213,,
4214,,
4215,,
4216,,
4217,,
4218,,
4219,,
4220,,
4221,,
4222,,
4223,,
4224,,
4225,,
4226,,
4227,,
4228,,
4229,,
4230,,
4231,,
4232,,
4233,,
4234,,
4235,,
4236,,
4237,,
4238,,
4239,,
4240,,
4241,,
4242,,
4243,,
4244,,
4245,,
4246,,
4247,,
4248,,
4249,,
4250,,
4251,,
4252,,
4253,,
4254,,
4255,,
4256,,
4257,,
4258,,
4259,,
4260,,
4261,,
4262,,
4263,,
4264,,
4265,,
4266,,
4267,,
4268,,
4269,,
4270,,
4271,,
4272,,
4273,,
4274,,
4275,,
4276,,
4277,,
4278,,
4279,,
4280,,
4281,,
4282,,
4283,,
4284,,
4285,,
4286,,
4287,,
4288,,
4289,,
4290,,
4291,,
4292,,
4293,,
4294,,
4295,,
4296,,
4297,,
4298,,
4299,,
4300,,
4301,,
4302,,
4303,,
4304,,
4305,,
4306,,
4307,,
4308,,
4309,,
4310,,
4311,,
4312,,
4313,,
4314,,
4315,,
4316,,
4317,,
4318,,
4319,,
4320,,
4321,,
4322,,
4323,,
4324,,
4325,,
4326,,
4327,,
4328,,
4329,,
4330,,
4331,,
4332,,
4333,,
4334,,
4335,,
4336,,
4337,,
4338,,
4339,,
4340,,
4341,,
4342,,
4343,,
4344,,
4345,,
4346,,
4347,,
4348,,
